Phenotype,C+T,SCT,LDpred,LDpred2,LDpred2-auto,LDpred2-inf,LDpred-funct,AnnoPred,lassosum,lassosum2,PRS-CS,PRS-CS-auto,SBayesR,DBSLMM
Depression,0.621038259709986,,,0.647067281509419,,,0.635580970413237,,0.625449807352664,,0.632782876018588,0.624704157823212,0.641983885826551,
Depression,0.582286953991057,,,0.619731063311903,,,0.600380982617668,,0.607061406989973,,0.611969203905072,0.606262401777919,0.618371167023838,
Depression,0.581312107550181,,,0.591915096867391,,,0.600920327590023,,0.585133796992043,,0.596248208856114,0.58227437411899,0.590490336560305,
Depression,0.570536684242601,,,0.598761956492939,,,0.600060279271879,,0.576827919239024,,0.600222569619247,0.601414906865213,0.602006107416338,
Depression,0.581995834354325,,,0.603814424569142,,,0.614534836232949,,0.579545454545455,,0.608786653597974,0.5987247815078,0.605662419341665,
Depression,0.60875127643324,,,0.624238527142277,,,0.619663213820743,,0.61686487940944,,0.617682130937399,0.618388869669272,0.625998584433447,
Depression,0.582895970009372,,,0.599875039050297,,,0.590596688534833,,0.588516981300486,,0.601298701298701,0.591703485517919,0.596969696969697,
Depression,0.582089602934683,,,0.595934241364084,,,0.594915254237288,,0.584358547603682,,0.604330695288883,0.603576644815054,0.596182194898271,
Depression,0.549278239510078,,,0.56508967327299,,,0.556696053030048,,0.558642619199838,,0.548243547898651,0.555375349103267,0.564500824388438,
Depression,0.63599044972406,,,0.6577752553916,,,0.649104074523465,,0.643468237504403,,0.650954831891659,0.646451328819132,0.657404007984657,
Depression,0.57540974635401,,,0.582127123977344,,,0.573467042438504,,0.565477330560648,,0.572851396831477,0.570539305551755,0.579473007360385,
Depression,0.61241230437129,,,0.626983270372369,,,0.61241230437129,,0.626119805720453,,0.62107393416082,0.610334592552617,0.638828926065839,
Depression,0.5388343179823,,,0.564168268204143,,,0.575438346738795,,0.564951242081287,,0.572603032244288,0.561297363987947,0.568450898047311,
Depression,0.605234015270735,,,0.611514250743137,,,0.614865652503351,,0.614588797575334,,0.609925977735035,0.596156087894154,0.609415981815003,
Depression,0.565422392093961,,,0.571733324714048,,,0.575395847390175,,0.567034467712024,,0.576440262295612,0.574480721757364,0.577531140533399,
Depression,0.527211807702555,,,0.539955560247535,,,0.553584086144751,,0.535544261289658,,0.541387033043268,0.542751896481518,0.543494653656477,
Depression,0.614143385894641,,,0.614954621507884,,,0.613750443644476,,0.62557673781879,,0.607209856512701,0.592734371038889,0.608426709932566,
Depression,0.562737464072645,,,0.569424818788719,,,0.552262707691603,,0.577511479577231,,0.562961902689828,0.561559161332433,0.568932427944898,
Depression,0.592734763128927,,,0.605046529319739,,,0.601297222665849,,0.59461791692211,,0.601968845361922,0.598427843062503,0.605603438653251,
Schizophrenia,0.722,,,0.751,,,0.754,,0.742,,0.751,0.732,0.751,
Schizophrenia,0.675,,,0.723,,,0.709,,0.719,,0.717,0.71,0.726,
Schizophrenia,0.704,,,0.719,,,0.708,,0.714,,0.711,0.694,0.717,
Schizophrenia,0.675,,,0.705,,,0.696,,0.694,,0.698,0.689,0.708,
Schizophrenia,0.678,,,0.693,,,0.702,,0.694,,0.696,0.69,0.696,
Schizophrenia,0.7,,,0.752,,,0.74,,0.749,,0.744,0.72,0.746,
Schizophrenia,0.766,,,0.787,,,0.769,,0.785,,0.761,0.722,0.785,
Schizophrenia,0.673,,,0.695,,,0.71,,0.712,,0.71,0.711,0.704,
Schizophrenia,0.718,,,0.755,,,0.745,,0.749,,0.748,0.728,0.757,
Schizophrenia,0.699,,,0.747,,,0.741,,0.736,,0.732,0.736,0.748,
Schizophrenia,0.65,,,0.67,,,0.672,,0.667,,0.669,0.661,0.674,
Schizophrenia,0.703,,,0.727,,,0.715,,0.718,,0.716,0.702,0.732,
Schizophrenia,0.731,,,0.77,,,0.77,,0.77,,0.77,0.744,0.772,
Schizophrenia,0.776,,,0.816,,,0.789,,0.815,,0.795,0.768,0.814,
Schizophrenia,0.674,,,0.706,,,0.701,,0.705,,0.709,0.698,0.713,
Schizophrenia,0.722,,,0.745,,,0.74,,0.738,,0.729,0.726,0.738,
Schizophrenia,0.715,,,0.755,,,0.748,,0.749,,0.743,0.726,0.758,
Schizophrenia,0.826,,,0.843,,,0.831,,0.841,,0.822,0.795,0.844,
Schizophrenia,0.66,,,0.704,,,0.702,,0.696,,0.704,0.703,0.703,
Schizophrenia,0.704,,,0.736,,,0.733,,0.733,,0.736,0.719,0.737,
Schizophrenia,0.726,,,0.748,,,0.727,,0.74,,0.736,0.707,0.743,
Schizophrenia,0.641,,,0.696,,,0.692,,0.677,,0.666,0.67,0.697,
Schizophrenia,0.651,,,0.707,,,0.709,,0.704,,0.704,0.705,0.703,
Schizophrenia,0.687,,,0.728,,,0.718,,0.719,,0.721,0.711,0.728,
Schizophrenia,0.704,,,0.73,,,0.711,,0.711,,0.738,0.737,0.72,
Schizophrenia,0.682,,,0.717,,,0.716,,0.71,,0.705,0.692,0.719,
Schizophrenia,0.683,,,0.7,,,0.699,,0.704,,0.696,0.686,0.704,
Schizophrenia,0.678,,,0.719,,,0.706,,0.711,,0.704,0.697,0.717,
Schizophrenia,0.707,,,0.767,,,0.758,,0.761,,0.749,0.739,0.77,
Schizophrenia,0.66,,,0.695,,,0.682,,0.697,,0.689,0.685,0.698,
Type One Balding,0.72,0.67,,0.67,0.71,0.66,,,0.71,,0.68,,0.71,0.69
Qualification,0.66,0.66,,0.66,0.62,0.66,,,0.66,,0.57,,0.65,0.65
Height,0.65,0.64,,0.64,0.62,0.64,,,0.65,,0.6,,0.64,0.63
Tanning Ability,0.72,0.65,,0.67,0.7,0.67,,,0.7,,0.68,,0.67,0.67
Smoking Status,0.62,0.61,,0.61,0.61,0.61,,,0.61,,0.57,,0.6,0.61
Myxedema,0.76,0.73,,0.73,0.74,0.73,,,0.74,,0.73,,0.72,0.72
Ever Smoked,0.6,0.59,,0.6,0.59,0.6,,,0.6,,0.56,,0.59,0.59
Salt Added to Food,0.59,0.58,,0.58,0.59,0.58,,,0.59,,0.55,,0.58,0.58
Morning Person,0.58,0.58,,0.58,0.55,0.58,,,0.58,,0.52,,0.58,0.58
Asthma Disease,0.63,0.61,,0.61,0.58,0.6,,,0.62,,0.58,,0.6,0.6
Dried Fruit Intake,0.6,0.6,,0.6,0.6,0.6,,,0.6,,0.58,,0.59,0.6
Snoring,0.64,0.64,,0.64,0.63,0.63,,,0.63,,0.61,,0.63,0.63
Tense,0.59,0.59,,0.59,0.57,0.59,,,0.59,,0.54,,0.59,0.58
Angina,0.69,0.68,,0.68,0.66,0.67,,,0.68,,0.66,,0.67,0.68
Headache,0.6,0.6,,0.6,0.58,0.59,,,0.6,,0.58,,0.59,0.59
Coronary Artery Disease,0.72,0.72,,0.72,0.71,0.72,,,0.72,,0.69,,0.72,0.71
Prostate Cancer,0.64,0.59,,0.59,0.63,0.57,,,0.65,,0.61,,0.64,0.6
Gout,0.8,0.78,,0.78,0.79,0.78,,,0.8,,0.79,,0.8,0.78
Fresh Fruit Intake,0.62,0.63,,0.63,0.62,0.62,,,0.62,,0.6,,0.62,0.62
Type Two Diabetes,0.68,0.65,,0.66,0.65,0.65,,,0.67,,0.63,,0.65,0.65
Supplementary Vitamin and Mineral,0.57,0.57,,0.57,0.57,0.57,,,0.57,,0.55,,0.57,0.57
Depression,0.58,0.59,,0.59,0.58,0.58,,,0.59,,0.56,,0.58,0.58
Breast Cancer,0.6,0.57,,0.57,0.59,0.57,,,0.6,,0.59,,0.6,0.59
Rheumatoid Arthirits,0.62,0.61,,0.62,0.58,0.61,,,0.63,,0.62,,0.62,0.61
Osteoarthritis,0.58,0.58,,0.58,0.57,0.58,,,0.58,,0.57,,0.58,0.58
Height,0.26,0.3,,0.3,0.26,0.26,,,0.31,,0.21,,0.16,0.3
Bone Mineral Density,0.13,0.16,,0.17,0.12,0.12,,,0.16,,0.16,,0.1,0.16
High-Density Lipoprotein,0.13,0.17,,0.17,0.13,0.13,,,0.16,,0.1,,0.13,0.18
Basal Metabolic Rate,0.12,0.15,,0.16,0.14,0.14,,,0.15,,0.11,,0.07,0.16
Platelet Count,0.16,0.2,,0.2,0.14,0.15,,,0.2,,0.12,,0.13,0.2
Body Mass Index,0.09,0.11,,0.12,0.11,0.11,,,0.12,,0.09,,0.06,0.12
Body Fat Percentage,0.08,0.1,,0.1,0.1,0.1,,,0.1,,0.07,,0.05,0.1
Age at Menarche,0.06,0.06,,0.05,0.05,0.05,,,0.06,,0.06,,0.05,0.06
Hip Circumference,0.08,0.1,,0.1,0.1,0.1,,,0.1,,0.08,,0.05,0.1
Red Blood Cell Count,0.12,0.14,,0.15,0.11,0.11,,,0.14,,0.09,,0.08,0.14
Trunk Fat Percentage,0.08,0.09,,0.09,0.09,0.09,,,0.09,,0.07,,0.05,0.1
Red Blood Cell Distribution Width,0.11,0.13,,0.14,0.09,0.09,,,0.12,,0.07,,0.1,0.12
Waist Circumference,0.06,0.08,,0.09,0.08,0.09,,,0.09,,0.07,,0.04,0.09
Eosinophil Count,0.1,0.12,,0.12,0.08,0.08,,,0.11,,0.07,,0.08,0.11
Triglyceride,0.08,0.11,,0.11,0.08,0.09,,,0.1,,0.07,,0.08,0.1
White Blood Cell Count,0.08,0.11,,0.11,0.09,0.09,,,0.09,,0.06,,0.05,0.09
Forced Vital Capacity,0.07,0.08,,0.09,0.08,0.08,,,0.08,,0.07,,0.04,0.09
(Forced Expiratory Volume in 1 second)/(Forced Vital Capacity),0.07,0.09,,0.1,0.08,0.08,,,0.09,,0.06,,0.05,0.08
Forced Expiratory Volume,0.06,0.07,,0.07,0.06,0.07,,,0.07,,0.05,,0.04,0.07
Waist Hip Ratio,0.06,0.07,,0.07,0.06,0.06,,,0.07,,0.06,,0.04,0.07
Systolic Blood Pressure,0.03,0.04,,0.05,0.04,0.04,,,0.05,,0.04,,0.03,0.05
Cholesterol,0.07,0.09,,0.08,0.05,0.05,,,0.08,,0.06,,0.08,0.09
Low-Density Lipoprotein,0.07,0.09,,0.08,0.05,0.05,,,0.08,,0.05,,0.08,0.09
Birth Weight,0.03,0.04,,0.04,0.03,0.03,,,0.04,,0.04,,0.02,0.04
Sodium in Urine,0.01,0.01,,0.02,0.02,0.02,,,0.02,,0.02,,0.01,0.02
Height,,,,,0.119088167280575,,,,,,,0.119804497262465,0.109380686533098,0.11229637264392
Hemoglobin A1c,0.0179928192555339,,,0.0263990576951087,0.0125965158813593,,,,,,,0.0244293462578401,0.0245635296940408,0.0231649835308394
Body Mass Index,0.056185082235581,,,0.0801304218140975,0.0516412373013446,,,,0.0819606704505036,,0.0772500413909242,0.0781314464995236,0.056694467100682,0.0801017163194818
Estimated Glomerular Filtration Rate,0.033297506280466,,,0.0516763773365638,0.0499179799544956,,,,0.0469937424032314,,,0.0475608896549577,0.0486553575760064,0.0461641624795477
High-Density Lipoprotein,0.0648877989053046,,,0.113422119241138,0.0919392754323696,,,,,,0.111046562610904,0.108941417374295,0.109636194521277,0.11073001648965
Height,,,,,0.0797135200518265,,,,,,,0.0700420918291623,0.0812035262607059,0.0711673639438435
Urate,0.0450921281401316,,,0.0670908426655187,0.0336572239384172,,,,0.06900750301041,,,0.0444984408615969,0.0151148356241528,0.0439391939785578
Hemoglobin A1c,0.000410880290968582,,,0.000710568962128586,0.000962038747849327,,,,,,,0.000519401766754471,0.000790627101950689,0.00040805558322026
Body Mass Index,0.0175149703234952,,,0.0310265476024677,0.0333140032539165,,,,0.0401374387623594,,0.0272371737165089,0.0401402669224204,0.0337895036060141,0.0441263557877739
