comparison_id,task,item,value
cmp_03674,reasoning,Nimbus,0
cmp_04800,safety,Pulse,0
cmp_04800,safety,Zenith,1
cmp_01864,math,Astra,1
cmp_01864,math,Zenith,0
cmp_04925,safety,Pulse,0
cmp_04925,safety,Nimbus,1
cmp_01783,math,Astra,1
cmp_01783,math,Pulse,0
cmp_03446,reasoning,Nova,1
cmp_03446,reasoning,Nimbus,0
cmp_02836,reasoning,Orion,1
cmp_02836,reasoning,Zenith,0
cmp_04994,safety,Zenith,1
cmp_04994,safety,Nimbus,0
cmp_01531,math,Orion,1
cmp_01531,math,Zenith,0
cmp_02046,math,Nova,1
cmp_02046,math,Pulse,0
cmp_03466,reasoning,Nova,1
cmp_03466,reasoning,Nimbus,0
cmp_03233,reasoning,Astra,1
cmp_03233,reasoning,Nimbus,0
cmp_04542,safety,Nova,0
cmp_04542,safety,Pulse,1
cmp_01417,math,Orion,1
cmp_01417,math,Nova,0
cmp_00036,coding,Orion,0
cmp_00036,coding,Astra,1
cmp_04635,safety,Nova,1
cmp_04635,safety,Zenith,0
cmp_01042,coding,Pulse,0
cmp_01042,coding,Zenith,1
cmp_04575,safety,Nova,0
cmp_04575,safety,Pulse,1
cmp_01581,math,Orion,1
cmp_01581,math,Zenith,0
cmp_02271,math,Pulse,0
cmp_02271,math,Zenith,1
cmp_01905,math,Astra,1
cmp_01905,math,Zenith,0
cmp_02943,reasoning,Astra,0
cmp_02943,reasoning,Nova,1
cmp_02706,reasoning,Orion,1
cmp_02706,reasoning,Pulse,0
cmp_04263,safety,Astra,1
cmp_04263,safety,Nova,0
cmp_01539,math,Orion,1
cmp_01539,math,Zenith,0
cmp_00384,coding,Orion,0
cmp_00384,coding,Nimbus,1
cmp_00992,coding,Nova,1
cmp_00992,coding,Nimbus,0
cmp_02023,math,Nova,1
cmp_02023,math,Pulse,0
cmp_03267,reasoning,Astra,0
cmp_03267,reasoning,Nimbus,1
cmp_00841,coding,Nova,0
cmp_00841,coding,Zenith,1
cmp_02857,reasoning,Orion,1
cmp_02857,reasoning,Nimbus,0
cmp_04704,safety,Nova,1
cmp_04704,safety,Zenith,0
cmp_00280,coding,Orion,1
cmp_00280,coding,Zenith,0
cmp_03092,reasoning,Astra,0
cmp_03092,reasoning,Pulse,1
cmp_02758,reasoning,Orion,0
cmp_02758,reasoning,Pulse,1
cmp_03596,reasoning,Pulse,1
cmp_03596,reasoning,Zenith,0
cmp_03471,reasoning,Nova,1
cmp_03471,reasoning,Nimbus,0
cmp_04898,safety,Pulse,1
cmp_04898,safety,Nimbus,0
cmp_04968,safety,Zenith,0
cmp_04968,safety,Nimbus,1
cmp_03014,reasoning,Astra,0
cmp_03014,reasoning,Nova,1
cmp_03288,reasoning,Nova,1
cmp_03288,reasoning,Pulse,0
cmp_04331,safety,Astra,0
cmp_04331,safety,Pulse,1
cmp_02082,math,Nova,1
cmp_02082,math,Pulse,0
cmp_00979,coding,Nova,0
cmp_00979,coding,Nimbus,1
cmp_03325,reasoning,Nova,0
cmp_03325,reasoning,Pulse,1
cmp_05008,safety,Zenith,1
cmp_05008,safety,Nimbus,0
cmp_03716,reasoning,Zenith,1
cmp_03716,reasoning,Nimbus,0
cmp_03810,safety,Orion,0
cmp_03810,safety,Astra,1
cmp_04546,safety,Nova,0
cmp_04546,safety,Pulse,1
cmp_00206,coding,Orion,0
cmp_00206,coding,Pulse,1
cmp_01084,coding,Pulse,1
cmp_01084,coding,Zenith,0
cmp_00967,coding,Nova,1
cmp_00967,coding,Nimbus,0
cmp_04969,safety,Zenith,1
cmp_04969,safety,Nimbus,0
cmp_04400,safety,Astra,1
cmp_04400,safety,Zenith,0
cmp_04426,safety,Astra,1
cmp_04426,safety,Zenith,0
cmp_01568,math,Orion,1
cmp_01568,math,Zenith,0
cmp_04609,safety,Nova,0
cmp_04609,safety,Pulse,1
cmp_01723,math,Astra,1
cmp_01723,math,Nova,0
cmp_04580,safety,Nova,0
cmp_04580,safety,Pulse,1
cmp_03626,reasoning,Pulse,0
cmp_03626,reasoning,Nimbus,1
cmp_03698,reasoning,Zenith,0
cmp_03698,reasoning,Nimbus,1
cmp_04895,safety,Pulse,1
cmp_04895,safety,Nimbus,0
cmp_00407,coding,Orion,1
cmp_00407,coding,Nimbus,0
cmp_02623,reasoning,Orion,1
cmp_02623,reasoning,Nova,0
cmp_02628,reasoning,Orion,1
cmp_02628,reasoning,Nova,0
cmp_01706,math,Astra,1
cmp_01706,math,Nova,0
cmp_04672,safety,Nova,0
cmp_04672,safety,Zenith,1
cmp_01371,math,Orion,0
cmp_01371,math,Nova,1
cmp_04656,safety,Nova,1
cmp_04656,safety,Zenith,0
cmp_02283,math,Pulse,0
cmp_02283,math,Zenith,1
cmp_00205,coding,Orion,0
cmp_00205,coding,Pulse,1
cmp_04223,safety,Astra,1
cmp_04223,safety,Nova,0
cmp_00460,coding,Astra,0
cmp_00460,coding,Nova,1
cmp_02699,reasoning,Orion,1
cmp_02699,reasoning,Pulse,0
cmp_00362,coding,Orion,1
cmp_00362,coding,Nimbus,0
cmp_01486,math,Orion,0
cmp_01486,math,Pulse,1
cmp_00359,coding,Orion,1
cmp_00359,coding,Nimbus,0
cmp_00305,coding,Orion,1
cmp_00305,coding,Zenith,0
cmp_02916,reasoning,Orion,1
cmp_02916,reasoning,Nimbus,0
cmp_03189,reasoning,Astra,1
cmp_03189,reasoning,Zenith,0
cmp_02792,reasoning,Orion,1
cmp_02792,reasoning,Zenith,0
cmp_03472,reasoning,Nova,1
cmp_03472,reasoning,Nimbus,0
cmp_02357,math,Pulse,1
cmp_02357,math,Nimbus,0
cmp_02474,math,Zenith,1
cmp_02474,math,Nimbus,0
cmp_01934,math,Astra,1
cmp_01934,math,Nimbus,0
cmp_02680,reasoning,Orion,0
cmp_02680,reasoning,Nova,1
cmp_02083,math,Nova,1
cmp_02083,math,Pulse,0
cmp_02827,reasoning,Orion,0
cmp_02827,reasoning,Zenith,1
cmp_04200,safety,Orion,0
cmp_04200,safety,Nimbus,1
cmp_00527,coding,Astra,1
cmp_00527,coding,Pulse,0
cmp_04174,safety,Orion,1
cmp_04174,safety,Nimbus,0
cmp_00982,coding,Nova,1
cmp_00982,coding,Nimbus,0
cmp_01878,math,Astra,0
cmp_01878,math,Zenith,1
cmp_04991,safety,Zenith,0
cmp_04991,safety,Nimbus,1
cmp_04346,safety,Astra,0
cmp_04346,safety,Pulse,1
cmp_04742,safety,Nova,1
cmp_04742,safety,Nimbus,0
cmp_01956,math,Astra,1
cmp_01956,math,Nimbus,0
cmp_00649,coding,Astra,0
cmp_00649,coding,Zenith,1
cmp_02309,math,Pulse,0
cmp_02309,math,Zenith,1
cmp_01725,math,Astra,1
cmp_01725,math,Nova,0
cmp_03266,reasoning,Astra,1
cmp_03266,reasoning,Nimbus,0
cmp_00943,coding,Nova,1
cmp_00943,coding,Nimbus,0
cmp_01096,coding,Pulse,1
cmp_01096,coding,Nimbus,0
cmp_00419,coding,Orion,0
cmp_00419,coding,Nimbus,1
cmp_00013,coding,Orion,1
cmp_00013,coding,Astra,0
cmp_01474,math,Orion,1
cmp_01474,math,Pulse,0
cmp_04070,safety,Orion,1
cmp_04070,safety,Zenith,0
cmp_04889,safety,Pulse,1
cmp_04889,safety,Nimbus,0
cmp_03783,safety,Orion,0
cmp_03783,safety,Astra,1
cmp_00896,coding,Nova,0
cmp_00896,coding,Zenith,1
cmp_00383,coding,Orion,1
cmp_00383,coding,Nimbus,0
cmp_04365,safety,Astra,1
cmp_04365,safety,Pulse,0
cmp_02113,math,Nova,1
cmp_02113,math,Zenith,0
cmp_01716,math,Astra,1
cmp_01716,math,Nova,0
cmp_01002,coding,Nova,0
cmp_01002,coding,Nimbus,1
cmp_00717,coding,Astra,1
cmp_00717,coding,Nimbus,0
cmp_01011,coding,Pulse,0
cmp_01011,coding,Zenith,1
cmp_02643,reasoning,Orion,1
cmp_02643,reasoning,Nova,0
cmp_03556,reasoning,Pulse,1
cmp_03556,reasoning,Zenith,0
cmp_01498,math,Orion,1
cmp_01498,math,Pulse,0
cmp_04432,safety,Astra,1
cmp_04432,safety,Zenith,0
cmp_03807,safety,Orion,1
cmp_03807,safety,Astra,0
cmp_02919,reasoning,Orion,0
cmp_02919,reasoning,Nimbus,1
cmp_01646,math,Orion,1
cmp_01646,math,Nimbus,0
cmp_03521,reasoning,Nova,1
cmp_03521,reasoning,Nimbus,0
cmp_04035,safety,Orion,1
cmp_04035,safety,Zenith,0
cmp_02619,reasoning,Orion,1
cmp_02619,reasoning,Nova,0
cmp_04881,safety,Pulse,1
cmp_04881,safety,Nimbus,0
cmp_01078,coding,Pulse,0
cmp_01078,coding,Zenith,1
cmp_02922,reasoning,Orion,1
cmp_02922,reasoning,Nimbus,0
cmp_04470,safety,Astra,1
cmp_04470,safety,Nimbus,0
cmp_01526,math,Orion,0
cmp_01526,math,Zenith,1
cmp_03020,reasoning,Astra,0
cmp_03020,reasoning,Nova,1
cmp_03333,reasoning,Nova,1
cmp_03333,reasoning,Pulse,0
cmp_04781,safety,Nova,1
cmp_04781,safety,Nimbus,0
cmp_01547,math,Orion,1
cmp_01547,math,Zenith,0
cmp_04998,safety,Zenith,0
cmp_04998,safety,Nimbus,1
cmp_04373,safety,Astra,0
cmp_04373,safety,Zenith,1
cmp_03547,reasoning,Pulse,1
cmp_03547,reasoning,Zenith,0
cmp_01423,math,Orion,0
cmp_01423,math,Nova,1
cmp_04771,safety,Nova,1
cmp_04771,safety,Nimbus,0
cmp_04114,safety,Orion,1
cmp_04114,safety,Zenith,0
cmp_02274,math,Pulse,0
cmp_02274,math,Zenith,1
cmp_02931,reasoning,Orion,1
cmp_02931,reasoning,Nimbus,0
cmp_01892,math,Astra,1
cmp_01892,math,Zenith,0
cmp_00373,coding,Orion,1
cmp_00373,coding,Nimbus,0
cmp_02911,reasoning,Orion,1
cmp_02911,reasoning,Nimbus,0
cmp_04310,safety,Astra,1
cmp_04310,safety,Pulse,0
cmp_04218,safety,Astra,0
cmp_04218,safety,Nova,1
cmp_03647,reasoning,Pulse,0
cmp_03647,reasoning,Nimbus,1
cmp_00774,coding,Nova,1
cmp_00774,coding,Pulse,0
cmp_04725,safety,Nova,1
cmp_04725,safety,Nimbus,0
