Phenotype,C+T,SCT,LDpred,LDpred2,LDpred2-auto,LDpred2-inf,LDpred-funct,AnnoPred,lassosum,lassosum2,PRS-CS,PRS-CS-auto,SBayesR,DBSLMM
T2D,0.613,0.62,,0.649,,,,,,0.646,0.643,,,
BrCa,0.656,0.636,,0.664,,,,,,0.66,0.663,,,
BrCa,0.609,0.598,,0.623,,,,,,0.611,0.604,,,
BrCa,0.605,0.603,,0.612,,,,,,0.612,0.617,,,
PrCa,0.685,0.703,,0.706,,,,,,0.706,0.711,,,
PrCa,0.634,0.657,,0.653,,,,,,0.646,0.629,,,
PrCa,0.662,0.637,,0.678,,,,,,0.678,0.671,,,
HDL,0.149,0.188,,,,,,,,0.177,0.174,,,
LDL,0.078,0.104,,0.088,,,,,,0.112,0.096,,,
logTG,0.1,0.125,,0.105,,,,,,0.107,0.121,,,
TC,0.084,0.102,,0.073,,,,,,0.091,0.098,,,
MBI,0.057,0.085,,0.094,,,,,,0.081,0.057,,,
Height,0.186,0.232,,0.157,,,,,,0.204,0.199,,,
HDL,0.119,0.166,,0.163,,,,,,0.15,0.161,,,
LDL,0.083,0.103,,0.105,,,,,,0.106,0.093,,,
logTG,0.092,0.128,,0.114,,,,,,0.107,0.121,,,
TC,0.077,0.096,,0.091,,,,,,0.094,0.09,,,
MBI,0.086,0.113,,0.115,,,,,,0.109,0.113,,,
Height,0.283,0.335,,0.28,,,,,,0.305,0.33,,,
Age-related macular degeneration,,0.566,,0.57,,,,,,0.568,0.562,,,
Alzheimer’s disease,,0.659,,0.675,,,,,,0.683,0.579,,,
Asthma,,0.621,,0.625,,,,,,0.62,0.615,,,
Atrial fibrillation,,0.652,,0.635,,,,,,0.63,0.605,,,
Bipolar disorder,,0.579,,0.647,,,,,,0.616,0.615,,,
Bowel cancer,,0.657,,0.686,,,,,,0.686,0.624,,,
Breast cancer,,0.642,,0.645,,,,,,0.644,0.59,,,
Cardiovascular disease,,0.596,,0.588,,,,,,0.578,0.586,,,
Celiac disease,,0.776,,0.772,,,,,,0.773,0.744,,,
Coronary artery disease,,0.655,,0.652,,,,,,0.64,0.641,,,
Crohn’s disease,,0.645,,0.667,,,,,,0.675,0.576,,,
Epithelial ovarian cancer,,0.523,,0.559,,,,,,0.552,0.528,,,
Hypercholesterolemia,,0.654,,0.636,,,,,,0.653,0.644,,,
Hypertension,,0.637,,0.643,,,,,,0.638,0.635,,,
Hypertriglyceridemia,,0.693,,0.628,,,,,,0.666,0.594,,,
Ischemic stroke,,0.529,,0.56,,,,,,0.557,0.546,,,
Melanoma,,0.753,,0.746,,,,,,0.729,0.766,,,
Obesity,,0.675,,0.676,,,,,,0.666,0.679,,,
Osteoporosis,,0.615,,0.596,,,,,,0.594,0.56,,,
Parkinson’s disease,,0.544,,0.543,,,,,,0.55,0.535,,,
Primary open angle glaucoma,,0.659,,0.682,,,,,,0.675,0.667,,,
Prostate cancer,,0.708,,0.715,,,,,,0.691,0.708,,,
Psoriasis,,0.684,,0.674,,,,,,0.662,0.647,,,
Rheumatoid arthritis,,0.594,,0.6,,,,,,0.589,0.589,,,
Schizophrenia,,0.635,,0.724,,,,,,0.711,0.699,,,
Systemic lupus erythematosus,,0.638,,0.678,,,,,,0.652,0.66,,,
T1D,,0.802,,0.834,,,,,,0.818,0.793,,,
T2D,,0.717,,0.717,,,,,,0.714,0.706,,,
Ulcerative colitis,,0.67,,0.679,,,,,,0.665,0.683,,,
Venous thromboembolic disease,,0.679,,0.675,,,,,,0.679,0.662,,,
HDL,0.071601022,,,0.091312323,,,,,,0.087211899,,,,
LDL,0.084242971,,,0.121228505,,,,,,0.140975244,,,,
logTG,0.036351613,,,0.005969069,,,,,,0.03669323,,,,
TC,0.070691388,,,0.104517486,,,,,,0.117787669,,,,
HDL,0.082182864,,,0.119657989,,,,,,0.134525456,,,,
LDL,0.025537348,,,0.034805929,,,,,,0.032888138,,,,
logTG,0.062671539,,,0.070185025,,,,,,0.069457515,,,,
TC,0.056298083,,,0.076951308,,,,,,0.075841529,,,,
HDL,0.077180552,,,0.101592208,,,,,,0.09398254,,,,
LDL,0.025172008,,,0.03425331,,,,,,0.033179328,,,,
logTG,0.063321051,,,0.086101167,,,,,,0.076152839,,,,
TC,0.018249749,,,0.028709052,,,,,,0.028160418,,,,
Sleep Duration,,,,0.005,,,,,,0.002,,,,
Distolic Blood Pressure,,,,0.017,,,,,,0.004,,,,
Systollic Blood Pressure,,,,0.026,,,,,,0.008,,,,
Triglycerides,,,,0.053,,,,,,0.075,,,,
LDL Cholesterol,,,,0.045,,,,,,0.072,,,,
HDL Cholesterol,,,,0.06,,,,,,0.08,,,,
Total Cholesterol,,,,0.043,,,,,,0.082,,,,
BMI,,,,0.079,,,,,,0.083,,,,
Height,,,,0.198,,,,,,0.198,,,,
Total cholesterol,0.05089,,0.06605,,,,,0.07513,,,0.07232,,,
Triglyceride,0.04328,,0.07056,,,,,0.07437,,,0.07028,,,
LDL-C,0.0202,,0.07069,,,,,0.07054,,,0.07007,,,
Coronary artery disease,0.6163,,0.6302,,,,,0.6425,,,0.6336,,,
Atrial fibrillation,0.6055,,0.6272,,,,,0.6321,,,0.6189,,,
T2D,0.602,,0.6388,,,,,0.6446,,,0.6394,,,
Alzheimer’s disease,64.9,,,,,,,,,,66.7,,60.7,
Schizophrenia,0.722,,,0.751,,,0.754,,0.742,,0.751,0.732,0.751,
Schizophrenia,0.675,,,0.723,,,0.709,,0.719,,0.717,0.71,0.726,
Schizophrenia,0.704,,,0.719,,,0.708,,0.714,,0.711,0.694,0.717,
Schizophrenia,0.675,,,0.705,,,0.696,,0.694,,0.698,0.689,0.708,
Schizophrenia,0.678,,,0.693,,,0.702,,0.694,,0.696,0.69,0.696,
Schizophrenia,0.7,,,0.752,,,0.74,,0.749,,0.744,0.72,0.746,
Schizophrenia,0.766,,,0.787,,,0.769,,0.785,,0.761,0.722,0.785,
Schizophrenia,0.673,,,0.695,,,0.71,,0.712,,0.71,0.711,0.704,
Schizophrenia,0.718,,,0.755,,,0.745,,0.749,,0.748,0.728,0.757,
Schizophrenia,0.699,,,0.747,,,0.741,,0.736,,0.732,0.736,0.748,
Schizophrenia,0.65,,,0.67,,,0.672,,0.667,,0.669,0.661,0.674,
Schizophrenia,0.703,,,0.727,,,0.715,,0.718,,0.716,0.702,0.732,
Schizophrenia,0.731,,,0.77,,,0.77,,0.77,,0.77,0.744,0.772,
Schizophrenia,0.776,,,0.816,,,0.789,,0.815,,0.795,0.768,0.814,
Schizophrenia,0.674,,,0.706,,,0.701,,0.705,,0.709,0.698,0.713,
Schizophrenia,0.722,,,0.745,,,0.74,,0.738,,0.729,0.726,0.738,
Schizophrenia,0.715,,,0.755,,,0.748,,0.749,,0.743,0.726,0.758,
Schizophrenia,0.826,,,0.843,,,0.831,,0.841,,0.822,0.795,0.844,
Schizophrenia,0.66,,,0.704,,,0.702,,0.696,,0.704,0.703,0.703,
Schizophrenia,0.704,,,0.736,,,0.733,,0.733,,0.736,0.719,0.737,
Schizophrenia,0.726,,,0.748,,,0.727,,0.74,,0.736,0.707,0.743,
Schizophrenia,0.641,,,0.696,,,0.692,,0.677,,0.666,0.67,0.697,
Schizophrenia,0.651,,,0.707,,,0.709,,0.704,,0.704,0.705,0.703,
Schizophrenia,0.687,,,0.728,,,0.718,,0.719,,0.721,0.711,0.728,
Schizophrenia,0.704,,,0.73,,,0.711,,0.711,,0.738,0.737,0.72,
Schizophrenia,0.682,,,0.717,,,0.716,,0.71,,0.705,0.692,0.719,
Schizophrenia,0.683,,,0.7,,,0.699,,0.704,,0.696,0.686,0.704,
Schizophrenia,0.678,,,0.719,,,0.706,,0.711,,0.704,0.697,0.717,
Schizophrenia,0.707,,,0.767,,,0.758,,0.761,,0.749,0.739,0.77,
Schizophrenia,0.66,,,0.695,,,0.682,,0.697,,0.689,0.685,0.698,
MDD,0.565842577,,,0.589654978,,,0.583782434,,0.590209204,,0.583995908,0.572629434,0.5881808,
MDD,0.566798942,,,0.613756614,,,0.559854497,,0.623743386,,0.601653439,0.590013228,0.622685185,
MDD,0.571228989,,,0.586441594,,,0.59460317,,0.587089186,,0.583728818,0.584191091,0.589129751,
MDD,0.575060386,,,0.592763688,,,0.583917069,,0.58382649,,0.571698873,0.559973833,0.587510064,
MDD,0.60889418,,,0.639714838,,,0.623224581,,0.62141813,,0.627423083,0.630385401,0.638495812,
MDD,0.570248478,,,0.586461686,,,0.587481626,,0.597063262,,0.593606755,0.586263342,0.587253492,
MDD,0.590016714,,,0.602574875,,,0.622003885,,0.590369065,,0.626189186,0.617335231,0.608569364,
MDD,0.62103826,,,0.647067282,,,0.63558097,,0.625449807,,0.632782876,0.624704158,0.641983886,
MDD,0.582286954,,,0.619731063,,,0.600380983,,0.607061407,,0.611969204,0.606262402,0.618371167,
MDD,0.581312108,,,0.591915097,,,0.600920328,,0.585133797,,0.596248209,0.582274374,0.590490337,
MDD,0.570536684,,,0.598761956,,,0.600060279,,0.576827919,,0.60022257,0.601414907,0.602006107,
MDD,0.581995834,,,0.603814425,,,0.614534836,,0.579545455,,0.608786654,0.598724782,0.605662419,
MDD,0.608751276,,,0.624238527,,,0.619663214,,0.616864879,,0.617682131,0.61838887,0.625998584,
MDD,0.58289597,,,0.599875039,,,0.590596689,,0.588516981,,0.601298701,0.591703486,0.596969697,
MDD,0.582089603,,,0.595934241,,,0.594915254,,0.584358548,,0.604330695,0.603576645,0.596182195,
MDD,0.54927824,,,0.565089673,,,0.556696053,,0.558642619,,0.548243548,0.555375349,0.564500824,
MDD,0.63599045,,,0.657775255,,,0.649104075,,0.643468238,,0.650954832,0.646451329,0.657404008,
MDD,0.575409746,,,0.582127124,,,0.573467042,,0.565477331,,0.572851397,0.570539306,0.579473007,
MDD,0.612412304,,,0.62698327,,,0.612412304,,0.626119806,,0.621073934,0.610334593,0.638828926,
MDD,0.538834318,,,0.564168268,,,0.575438347,,0.564951242,,0.572603032,0.561297364,0.568450898,
MDD,0.605234015,,,0.611514251,,,0.614865653,,0.614588798,,0.609925978,0.596156088,0.609415982,
MDD,0.565422392,,,0.571733325,,,0.575395847,,0.567034468,,0.576440262,0.574480722,0.577531141,
MDD,0.527211808,,,0.53995556,,,0.553584086,,0.535544261,,0.541387033,0.542751896,0.543494654,
MDD,0.614143386,,,0.614954622,,,0.613750444,,0.625576738,,0.607209857,0.592734371,0.60842671,
MDD,0.562737464,,,0.569424819,,,0.552262708,,0.57751148,,0.562961903,0.561559161,0.568932428,
MDD,0.592734763,,,0.605046529,,,0.601297223,,0.594617917,,0.601968845,0.598427843,0.605603439,
Height,,,,,0.119088167,,,,,,,0.119804497,0.109380687,0.112296373
HbA1c,0.017992819,,,0.026399058,0.012596516,,,,,,,0.024429346,0.02456353,0.023164984
BMI,0.056185082,,,0.080130422,0.051641237,,,,0.08196067,,0.077250041,0.078131446,0.056694467,0.080101716
eGFR,0.033297506,,,0.051676377,0.04991798,,,,0.046993742,,,0.04756089,0.048655358,0.046164162
HDL,0.064887799,,,0.113422119,0.091939275,,,,,,0.111046563,0.108941417,0.109636195,0.110730016
Height,,,,,0.07971352,,,,,,,0.070042092,0.081203526,0.071167364
Urate,0.045092128,,,0.067090843,0.033657224,,,,0.069007503,,,0.044498441,0.015114836,0.043939194
HbA1c,0.00041088,,,0.000710569,0.000962039,,,,,,,0.000519402,0.000790627,0.000408056
BMI,0.01751497,,,0.031026548,0.033314003,,,,0.040137439,,0.027237174,0.040140267,0.033789504,0.044126356
eGFR,0.023831833,,,0.049388444,0.046069628,,,,0.041874713,,,0.044428153,0.048180582,0.043202635
HDL,0.071002004,,,0.110647976,0.072789935,,,,,,0.106150142,0.104645908,0.095177176,0.10469084
Height,,,,,0.110205652,,,,,,,0.112464565,0.104259286,0.106369915
Height,,,,,0.133019984,,,,,,,0.128619685,0.129007866,0.12521334
BMI,0.051440711,,,0.074412516,0.050374984,,,,0.075477313,,0.071659132,0.072088444,0.055826568,0.072056908
HDL,0.04219554,,,0.072212124,0.052177025,,,,,,0.070170325,0.07034652,0.067480525,0.064598624
Height,,,,,0.081562398,,,,,,,0.068520577,0.079877119,0.073159299
Urate,0.042008318,,,0.063318849,0.038583063,,,,0.061260772,,,0.042939928,0.018493279,0.047141681
HbA1c,0.014485511,,,0.023450981,0.011209518,,,,,,,0.024987802,0.020266936,0.021914402
BMI,0.035088105,,,0.053013487,0.043281827,,,,0.060603306,,0.044926239,0.05705801,0.043016747,0.055909961
eGFR,0.040054942,,,0.078445441,0.074143916,,,,0.070846265,,,0.076086275,0.075933018,0.068874443
HDL,0.050512937,,,0.087130663,0.061523948,,,,,,0.082032421,0.081205187,0.076296988,0.082802981
Urate,0.049360921,,,0.082892913,0.073929417,,,,0.07476597,,,0.073722939,0.054882857,0.063982467
HbA1c,0.022579852,,,0.038851015,0.019143074,,,,,,,0.033121583,0.03577438,0.034495356
BMI,0.060320023,,,0.086277891,0.053368242,,,,0.089042742,,0.084587899,0.079505255,0.057457041,0.080041198
eGFR,0.066746182,,,0.105427546,0.102968762,,,,0.092078932,,,0.094729388,0.100818893,0.089512658
HDL,0.058010405,,,0.106483231,0.087194376,,,,,,0.101527766,0.099748532,0.102142459,0.096811257
T1D,0.557199749,,,,0.583696227,,,,0.590011486,,0.590743068,0.589476244,0.577900502,0.580917705
Gout,0.620882008,,,0.646996347,0.637532543,,,,0.640608496,,,0.643576186,0.616167822,0.642585358
Stroke,0.529189628,,,0.537288538,0.533630397,,,,0.532603761,,0.532127328,0.529574057,0.526359738,0.531762434
AD,,,,,0.672048158,,,,,,,0.664917256,0.670936537,0.631504538
T2D,0.586148418,,,0.623589693,0.619565812,,,,0.611206651,,,0.617392496,0.620439953,0.618914
Breast cancer,0.616430838,,,0.649761749,0.64862587,,,,,,,0.646706413,0.650091293,0.642709379
Prostate cancer,0.651239682,,,0.677789872,0.67843916,,,,,,0.67266219,0.670802061,0.680986891,0.667278478
CKD,0.539425889,,,0.5489956,0.547381758,,,,0.549408289,,0.545191242,0.547756214,0.545850955,0.545050909
RA,0.576161832,,,0.619520167,0.53273298,,,,0.603115871,,0.564677087,0.585636008,0.604866127,0.529232575
IBD,0.590905058,,,0.619385337,0.616290547,,,,0.618216315,,0.617535111,0.616589058,0.614775682,0.61195732
T1D,0.524263027,,,,0.509682132,,,,0.510025101,,0.502619662,0.497211972,0.505923942,0.493056442
Gout,0.62345205,,,0.664229923,0.640690264,,,,0.660510347,,,0.647938685,0.602703703,0.641510464
Stroke,0.532672632,,,0.532574715,0.53685857,,,,0.534707562,,0.54028866,0.534401595,0.529096465,0.52518752
T2D,0.553740619,,,0.57086615,0.570048451,,,,0.563678257,,,0.564452468,0.569702038,0.565883336
Breast cancer,0.613916693,,,0.62870878,0.631688978,,,,,,,0.627341471,0.613532963,0.616829025
Prostate cancer,0.639462297,,,0.717822071,0.70701415,,,,,,0.718575788,0.708964758,0.708131194,0.678312885
CKD,0.533324586,,,0.541340632,0.541811555,,,,0.536610544,,0.537765699,0.535831707,0.539308409,0.536594354
RA,0.626303877,,,0.705652279,0.607966073,,,,0.690665462,,0.647191286,0.607415657,0.673169383,0.570621671
IBD,0.614544996,,,0.686413322,0.686094715,,,,0.677687336,,0.673524273,0.672593877,0.670373915,0.679513593
T1D,0.665663486,,,,0.69175836,,,,0.737623599,,0.740717669,0.742209288,0.699014524,0.733638577
Gout,0.611937658,,,0.638264768,0.626250393,,,,0.633371885,,,0.627587748,0.606374213,0.627606325
Stroke,0.527002669,,,0.543111124,0.54259847,,,,0.537821569,,0.540217182,0.540481172,0.538281768,0.540566105
AD,,,,,0.623703189,,,,,,,0.612383887,0.620990091,0.581365484
T2D,0.583503836,,,0.616276954,0.612067478,,,,0.606833215,,,0.610973467,0.6130619,0.613242067
Breast cancer,0.625932724,,,0.656238023,0.655931511,,,,,,,0.652073045,0.638266082,0.648042828
Prostate cancer,0.664901487,,,0.699437183,0.696160126,,,,,,0.693628506,0.693511077,0.700317103,0.689461691
CKD,0.545232191,,,0.550799595,0.549953047,,,,0.549868118,,0.548189384,0.549239239,0.548397142,0.54995165
RA,0.599880359,,,0.635101752,0.505810518,,,,0.63038519,,0.601187051,0.633721433,0.633985513,0.61202469
IBD,0.652064993,,,0.68745858,0.684642233,,,,0.680133236,,0.679906709,0.679529694,0.684247441,0.67370635
T1D,0.616370525,,,,0.71195387,,,,0.697067306,,0.693675635,0.691090067,0.631510033,0.697302211
Gout,0.59884994,,,0.624784686,0.611349559,,,,0.61923567,,,0.614115104,0.594796519,0.613251541
Stroke,0.519869538,,,0.531095568,0.529203248,,,,0.528569212,,0.527811516,0.527839512,0.523491419,0.533162517
AD,,,,,0.605319504,,,,,,,0.613626784,0.607961094,0.588890388
T2D,0.579289645,,,0.615257994,0.609950106,,,,0.609265574,,,0.611653075,0.609301262,0.61014175
Breast cancer,0.616772063,,,0.641545414,0.64171337,,,,,,,0.635319398,0.628051102,0.63153585
Prostate cancer,0.638386791,,,0.667116428,0.66493976,,,,,,0.659877142,0.662398659,0.666515079,0.65340105
CKD,0.550227495,,,0.559108157,0.556683134,,,,0.556681359,,0.556058236,0.556533941,0.55802074,0.556896513
RA,0.581052641,,,0.620885406,0.576805962,,,,0.602942872,,0.592398583,0.601749658,0.591595242,0.58063725
IBD,0.563312109,,,0.584098818,0.584580347,,,,0.584225736,,0.57906482,0.58008182,0.5788092,0.57783074
Gout,0.604250234,,,0.629731945,0.600132537,,,,0.617166209,,,0.603715029,0.568356381,0.613150975
Stroke,0.544978201,,,0.564503592,0.568593772,,,,0.555536029,,0.566118034,0.567254123,0.545998081,0.546279634
T2D,0.568147983,,,0.59547748,0.592082823,,,,0.58225534,,,0.588534258,0.595583453,0.595205265
Breast cancer,0.586309729,,,0.60655331,0.603290534,,,,,,,0.61378509,0.601074204,0.603264741
Prostate cancer,0.691883384,,,0.727001831,0.724974779,,,,,,0.709702761,0.703611329,0.728743975,0.718889885
CKD,0.545170126,,,0.565372431,0.561327241,,,,0.558395463,,0.561545242,0.5599353,0.556576268,0.552612533
IBD,0.618342407,,,0.642499987,0.642594882,,,,0.648449768,,0.63172259,0.629967034,0.645390707,0.633780379
T1D,0.674369567,,,,0.748582811,,,,0.744501212,,0.747047434,0.743654194,0.658599495,0.743796091
Gout,0.648321831,,,0.68510818,0.675556165,,,,0.677868004,,,0.679132764,0.648353699,0.671767149
Stroke,0.535373916,,,0.553090413,0.554617885,,,,0.545197791,,0.549281924,0.552913557,0.550729074,0.553945637
T2D,0.597128497,,,0.635982766,0.629273913,,,,0.623773105,,,0.632221553,0.630252638,0.630247686
Breast cancer,0.627863916,,,0.65978971,0.65975886,,,,,,,0.655349648,0.653965518,0.653287091
Prostate cancer,0.661967455,,,0.69165533,0.690810798,,,,,,0.682721704,0.682549137,0.693098773,0.677531853
CKD,0.569877135,,,0.588513507,0.588717346,,,,0.58281214,,0.579861361,0.581982699,0.586159539,0.578797185
RA,0.608118545,,,0.728258037,0.642032436,,,,0.711022579,,0.678986246,0.694658865,0.662108048,0.65882639
IBD,0.647944846,,,0.684576345,0.682741927,,,,0.669773556,,0.671738834,0.672211232,0.67763322,0.67250326
Depression,0.564,,0.579,0.581,0.578,0.577,,,0.58,,0.578,0.579,0.562,0.578
T2d,0.607,,0.642,0.646,0.618,0.615,,,0.632,,0.639,0.639,0.64,0.64
CAD,0.575,,0.597,0.604,0.561,0.59,,,0.596,,0.603,0.603,0.589,0.593
IBD,0.608,,0.631,0.647,0.605,0.6,,,0.639,,0.631,0.629,0.637,0.637
MultiScler,0.629,,0.659,0.67,0.645,0.634,,,0.668,,0.659,0.666,0.643,0.634
RheuArth,0.611,,0.607,0.618,0.581,0.577,,,0.621,,0.617,0.617,0.619,0.6
PrCa,0.674,,0.675,0.703,0.657,0.654,,,0.7,,0.698,0.696,0.697,0.693
BrCa,0.624,,0.634,0.65,0.616,0.615,,,0.644,,0.648,0.649,0.648,0.649
Depression,0.566,,0.578,0.579,0.579,0.578,,,0.58,,,,0.581,0.579
T2d,0.608,,0.637,0.646,0.64,0.614,,,0.633,,,,0.645,0.642
