workload_id,scenario,latency_alpha,latency_beta,latency_gamma,latency_delta,latency_epsilon,latency_zeta
workload_0308,tool_heavy,108.873,113.132,114.36,112.046,108.917,120.942
workload_0309,short_context,89.868,93.92,102.705,102.804,102.453,96.484
workload_0310,medium_context,93.972,106.029,106.428,100.62,107.127,97.332
workload_0311,long_context,107.642,109.458,109.665,107.085,105.136,114.4
workload_0312,tool_heavy,115.42,112.053,116.043,114.503,113.615,121.607
workload_0313,short_context,98.418,99.132,93.643,102.152,97.794,97.194
workload_0314,medium_context,97.541,99.228,100.292,95.706,102.279,101.363
workload_0315,long_context,109.935,109.6,107.812,109.348,115.469,115.237
workload_0316,tool_heavy,117.008,107.455,118.208,110.83,119.665,111.781
workload_0317,short_context,95.825,95.326,92.041,87.818,97.997,89.231
workload_0318,medium_context,88.069,101.362,105.574,105.833,104.166,93.23
workload_0319,long_context,103.923,104.134,108.007,107.329,105.094,110.211
workload_0320,tool_heavy,105.739,120.234,110.062,104.856,115.231,116.082
workload_0321,short_context,89.927,99.159,101.198,99.727,105.223,100.957
workload_0322,medium_context,96.509,100.07,106.664,100.849,99.496,112.418
workload_0323,long_context,103.488,103.845,101.814,109.884,116.979,114.85
workload_0324,tool_heavy,110.456,105.247,108.796,109.957,110.807,116.408
workload_0325,short_context,95.76,88.598,98.223,92.376,99.847,95.509
workload_0326,medium_context,103.999,103.247,96.947,101.497,94.199,104.291
workload_0327,long_context,105.432,110.088,108.246,108.657,104.834,103.656
workload_0328,tool_heavy,111.36,110.731,117.279,118.926,116.976,115.37
workload_0329,short_context,85.111,103.779,95.223,97.661,105.208,101.696
workload_0330,medium_context,90.843,97.575,101.47,103.916,101.933,103.137
workload_0331,long_context,106.663,99.953,99.05,106.774,116.863,110.308
workload_0332,tool_heavy,105.801,108.36,117.121,117.113,111.549,115.819
workload_0333,short_context,94.395,91.998,92.206,96.598,98.754,99.45
workload_0334,medium_context,94.381,96.824,94.701,104.587,104.926,100.513
workload_0335,long_context,105.845,103.71,111.064,105.66,113.739,111.296
workload_0336,tool_heavy,109.992,105.084,113.004,109.639,110.747,116.271
workload_0337,short_context,95.793,96.598,94.172,93.91,97.367,101.42
workload_0338,medium_context,94.769,103.825,92.444,99.137,100.183,105.546
workload_0339,long_context,102.166,102.714,108.294,108.828,111.764,107.415
workload_0340,tool_heavy,112.365,114.091,108.952,116.55,112.35,111.924
workload_0341,short_context,96.622,95.121,94.955,100.554,95.785,95.564
workload_0342,medium_context,90.524,93.898,99.564,103.458,109.156,96.453
workload_0343,long_context,98.165,96.154,109.208,109.851,111.224,105.511
workload_0344,tool_heavy,110.904,114.218,113.129,113.576,125.484,106.232
workload_0345,short_context,92.466,97.299,89.164,96.529,103.503,100.028
workload_0346,medium_context,108.789,96.875,99.181,104.292,99.276,101.294
workload_0347,long_context,101.119,105.181,102.059,116.458,105.51,114.306
workload_0348,tool_heavy,110.942,117.669,112.731,109.647,116.273,118.166
workload_0349,short_context,86.982,92.936,95.54,90.618,99.002,92.776
workload_0350,medium_context,99.273,99.416,100.395,94.616,100.552,98.029
workload_0351,long_context,98.591,107.008,100.414,110.467,115.18,112.245
workload_0352,tool_heavy,111.479,117.693,122.158,107.272,105.882,120.175
workload_0353,short_context,90.016,89.031,92.535,94.436,89.679,102.758
workload_0354,medium_context,93.546,98.045,106.044,103.443,102.698,105.723
workload_0355,long_context,107.685,106.866,103.571,108.895,105.88,106.779
workload_0356,tool_heavy,105.466,96.791,109.433,121.458,115.542,113.364
workload_0357,short_context,97.56,96.96,104.698,105.513,97.502,96.138
workload_0358,medium_context,101.359,98.135,100.03,102.441,100.954,104.82
workload_0359,long_context,106.24,102.645,102.797,105.863,111.351,112.111
workload_0360,tool_heavy,114.173,116.426,109.659,115.083,119.911,119.32
workload_0361,short_context,110.618,89.562,98.944,88.139,94.72,97.107
workload_0362,medium_context,99.178,96.037,95.242,110.768,100.921,109.454
workload_0363,long_context,107.847,105.175,104.544,101.126,106.959,109.079
workload_0364,tool_heavy,109.027,111.432,113.42,115.631,117.593,111.587
workload_0365,short_context,90.719,94.021,103.552,102.8,99.399,101.776
workload_0366,medium_context,100.451,102.321,98.203,98.443,106.632,97.787
workload_0367,long_context,103.277,101.629,108.16,113.78,107.916,106.018
workload_0368,tool_heavy,118.726,105.195,113.854,108.559,114.4,110.766
workload_0369,short_context,91.347,93.391,94.993,105.267,98.855,102.826
workload_0370,medium_context,98.017,99.283,99.227,110.544,107.646,112.472
workload_0371,long_context,92.681,104.375,106.438,101.986,101.226,110.002
workload_0372,tool_heavy,110.173,107.457,112.542,108.447,118.527,121.515
workload_0373,short_context,94.606,91.622,86.001,100.995,95.048,100.989
workload_0374,medium_context,98.925,95.602,97.078,97.928,106.195,101.812
workload_0375,long_context,108.945,113.181,107.089,111.468,114.088,117.163
workload_0376,tool_heavy,109.642,108.432,112.628,108.639,117.102,110.844
workload_0377,short_context,98.555,99.22,98.682,90.388,95.192,95.56
workload_0378,medium_context,94.035,95.441,105.627,102.315,96.653,107.336
workload_0379,long_context,101.985,105.956,102.513,104.705,103.548,112.62
workload_0380,tool_heavy,114.044,103.874,109.968,110.918,120.528,112.532
workload_0381,short_context,93.548,95.791,95.762,94.435,92.652,100.704
workload_0382,medium_context,100.235,105.254,96.798,104.13,110.036,99.118
workload_0383,long_context,101.035,106.825,104.876,99.876,111.713,110.385
workload_0384,tool_heavy,115.382,108.632,107.509,113.542,112.877,124.318
workload_0385,short_context,96.987,86.389,97.847,97.663,101.497,106.47
workload_0386,medium_context,108.187,101.511,108.118,107.396,105.404,99.246
workload_0387,long_context,98.581,109.46,108.04,105.607,106.616,113.088
workload_0388,tool_heavy,114.101,109.499,112.609,110.163,117.83,110.984
workload_0389,short_context,86.916,97.946,95.047,97.659,94.318,98.991
workload_0390,medium_context,99.583,96.718,108.14,94.717,100.769,101.288
workload_0391,long_context,105.537,106.791,109.891,114.189,104.149,116.676
workload_0392,tool_heavy,108.304,103.792,110.541,114.5,115.903,113.774
workload_0393,short_context,89.627,93.431,103.525,96.036,97.809,94.135
workload_0394,medium_context,99.751,99.979,100.13,104.947,102.577,104.316
workload_0395,long_context,104.803,102.852,103.655,108.099,108.344,105.96
workload_0396,tool_heavy,112.364,105.952,114.187,121.005,116.204,109.598
workload_0397,short_context,92.96,94.37,98.618,91.712,102.977,99.247
