game_id,event,white,black,Magnus Carlsen,Fabiano Caruana,Ding Liren,Ian Nepomniachtchi,Alireza Firouzja,Wesley So,Anish Giri
39,Norway Chess,Ian Nepomniachtchi,Fabiano Caruana,,0.5,,0.5,,,
40,Tata Steel,Alireza Firouzja,Magnus Carlsen,1.0,,,,0.0,,
41,Tata Steel,Magnus Carlsen,Ding Liren,0.5,,0.5,,,,
42,World Championship,Fabiano Caruana,Magnus Carlsen,0.0,1.0,,,,,
43,Norway Chess,Anish Giri,Wesley So,,,,,,0.5,0.5
44,World Championship,Wesley So,Fabiano Caruana,,0.0,,,,1.0,
45,Tata Steel,Ding Liren,Ian Nepomniachtchi,,,1.0,0.0,,,
46,Norway Chess,Anish Giri,Ian Nepomniachtchi,,,,0.5,,,0.5
47,Tata Steel,Fabiano Caruana,Magnus Carlsen,0.0,1.0,,,,,
48,Norway Chess,Ding Liren,Anish Giri,,,1.0,,,,0.0
49,Candidates,Ian Nepomniachtchi,Anish Giri,,,,1.0,,,0.0
50,Tata Steel,Wesley So,Ian Nepomniachtchi,,,,0.5,,0.5,
51,Candidates,Anish Giri,Magnus Carlsen,1.0,,,,,,0.0
52,Candidates,Magnus Carlsen,Wesley So,0.5,,,,,0.5,
53,Norway Chess,Ding Liren,Wesley So,,,0.0,,,1.0,
54,Candidates,Magnus Carlsen,Fabiano Caruana,0.0,1.0,,,,,
55,Tata Steel,Ian Nepomniachtchi,Ding Liren,,,0.0,1.0,,,
56,Tata Steel,Ding Liren,Alireza Firouzja,,,0.5,,0.5,,
57,World Championship,Anish Giri,Fabiano Caruana,,1.0,,,,,0.0
58,Candidates,Magnus Carlsen,Fabiano Caruana,0.5,0.5,,,,,
59,Candidates,Ian Nepomniachtchi,Wesley So,,,,0.5,,0.5,
60,Candidates,Alireza Firouzja,Ian Nepomniachtchi,,,,0.0,1.0,,
61,World Championship,Fabiano Caruana,Wesley So,,0.5,,,,0.5,
62,Norway Chess,Ding Liren,Anish Giri,,,1.0,,,,0.0
63,Tata Steel,Alireza Firouzja,Magnus Carlsen,1.0,,,,0.0,,
64,Tata Steel,Ian Nepomniachtchi,Anish Giri,,,,1.0,,,0.0
65,Candidates,Alireza Firouzja,Ding Liren,,,0.0,,1.0,,
66,Candidates,Ian Nepomniachtchi,Anish Giri,,,,1.0,,,0.0
67,Tata Steel,Alireza Firouzja,Ian Nepomniachtchi,,,,0.0,1.0,,
68,World Championship,Wesley So,Ding Liren,,,1.0,,,0.0,
69,World Championship,Magnus Carlsen,Anish Giri,1.0,,,,,,0.0
70,World Championship,Alireza Firouzja,Ian Nepomniachtchi,,,,0.0,1.0,,
71,World Championship,Wesley So,Ian Nepomniachtchi,,,,0.5,,0.5,
72,Candidates,Wesley So,Ding Liren,,,1.0,,,0.0,
73,World Championship,Fabiano Caruana,Ian Nepomniachtchi,,0.5,,0.5,,,
74,Norway Chess,Fabiano Caruana,Ian Nepomniachtchi,,0.0,,1.0,,,
75,Tata Steel,Anish Giri,Ian Nepomniachtchi,,,,0.5,,,0.5
76,Norway Chess,Magnus Carlsen,Ding Liren,0.5,,0.5,,,,
77,Tata Steel,Ding Liren,Wesley So,,,1.0,,,0.0,
78,Tata Steel,Wesley So,Fabiano Caruana,,0.0,,,,1.0,
79,Norway Chess,Magnus Carlsen,Anish Giri,1.0,,,,,,0.0
80,Norway Chess,Anish Giri,Alireza Firouzja,,,,,1.0,,0.0
81,Tata Steel,Ding Liren,Fabiano Caruana,,1.0,0.0,,,,
82,Candidates,Fabiano Caruana,Alireza Firouzja,,0.0,,,1.0,,
83,World Championship,Alireza Firouzja,Wesley So,,,,,1.0,0.0,
84,Tata Steel,Anish Giri,Alireza Firouzja,,,,,0.5,,0.5
85,Norway Chess,Wesley So,Fabiano Caruana,,0.5,,,,0.5,
86,World Championship,Alireza Firouzja,Fabiano Caruana,,0.5,,,0.5,,
87,Tata Steel,Wesley So,Fabiano Caruana,,0.5,,,,0.5,
88,Candidates,Anish Giri,Wesley So,,,,,,1.0,0.0
89,World Championship,Ding Liren,Fabiano Caruana,,0.0,1.0,,,,
90,Candidates,Ian Nepomniachtchi,Magnus Carlsen,1.0,,,0.0,,,
91,World Championship,Magnus Carlsen,Alireza Firouzja,0.5,,,,0.5,,
92,Candidates,Alireza Firouzja,Ian Nepomniachtchi,,,,0.0,1.0,,
93,Norway Chess,Ian Nepomniachtchi,Wesley So,,,,0.5,,0.5,
94,Candidates,Fabiano Caruana,Anish Giri,,0.5,,,,,0.5
95,Candidates,Ding Liren,Fabiano Caruana,,0.5,0.5,,,,
96,World Championship,Wesley So,Ian Nepomniachtchi,,,,1.0,,0.0,
97,World Championship,Ding Liren,Magnus Carlsen,1.0,,0.0,,,,
98,World Championship,Wesley So,Alireza Firouzja,,,,,1.0,0.0,
99,Candidates,Ian Nepomniachtchi,Alireza Firouzja,,,,1.0,0.0,,
100,World Championship,Ding Liren,Anish Giri,,,0.0,,,,1.0
101,Candidates,Magnus Carlsen,Ian Nepomniachtchi,0.0,,,1.0,,,
102,World Championship,Ian Nepomniachtchi,Magnus Carlsen,0.5,,,0.5,,,
103,World Championship,Ian Nepomniachtchi,Magnus Carlsen,0.5,,,0.5,,,
104,Norway Chess,Fabiano Caruana,Wesley So,,1.0,,,,0.0,
105,Candidates,Wesley So,Ian Nepomniachtchi,,,,1.0,,0.0,
106,World Championship,Ding Liren,Magnus Carlsen,1.0,,0.0,,,,
107,Tata Steel,Magnus Carlsen,Ding Liren,0.0,,1.0,,,,
108,Candidates,Alireza Firouzja,Anish Giri,,,,,0.5,,0.5
109,World Championship,Alireza Firouzja,Wesley So,,,,,1.0,0.0,
110,World Championship,Fabiano Caruana,Alireza Firouzja,,1.0,,,0.0,,
111,Candidates,Alireza Firouzja,Anish Giri,,,,,0.5,,0.5
112,Candidates,Anish Giri,Ding Liren,,,0.0,,,,1.0
113,World Championship,Magnus Carlsen,Ding Liren,1.0,,0.0,,,,
114,Norway Chess,Wesley So,Anish Giri,,,,,,0.0,1.0
115,World Championship,Ding Liren,Ian Nepomniachtchi,,,1.0,0.0,,,
116,Norway Chess,Ding Liren,Wesley So,,,0.5,,,0.5,
