class,method_1,method_2,method_3,method_4,method_5,method_6
C,0.7817925201976217,0.7071819436126492,0.710192636985064,0.7157541934004782,0.43675054050326734,0.62990680731423
C,0.9652348638961925,0.8585656392513711,0.8600625401055959,0.7133747609348535,0.5706798996317811,0.5506131450435228
C,0.8015371435399918,0.7260806466249843,0.8167805459542445,0.49281033177535566,0.6134204684538076,0.494186674034255
C,0.8643417630681476,0.7743723663294957,0.752740507899162,0.7336870158395403,0.5245375358244935,0.6494378730992046
C,0.7424349516425113,0.8586774070503356,0.6410155229058858,0.6028985154337547,0.564300816617477,0.6028036004547965
B,0.8836583045459034,0.7258178596055659,0.6339220441755109,0.5604160836996043,0.4691773231692551,0.47315644830965076
C,0.8042315438320922,0.7330648576418863,0.7554127687071435,0.5595548172145004,0.6177078611381495,0.5549094731305672
B,0.9546712713775763,0.8491668049693132,0.7997050978839726,0.713354161047253,0.7155694248883151,0.4148292467975354
B,0.9273557706206813,0.704226682339498,0.7691881262245585,0.6477425072775147,0.5002856130229537,0.618589045643792
A,0.8004294053425101,0.751520797639593,0.6265402040393345,0.5018031216014589,0.5477328233447618,0.5237766430617145
B,0.8373335972652336,0.8455742178042893,0.7950667628792086,0.7178037815192284,0.6602546246454183,0.5064289167615263
C,0.7948883759959371,0.9954092441435975,0.7725910967101411,0.5260391869201173,0.7312090719322737,0.5467125514847566
A,0.708056680345499,0.8505404504762747,0.6229333593809822,0.6839821358518211,0.46068101877910694,0.5540307699330248
A,0.7642557570452784,0.8372639762990012,0.6515679029699744,0.6938498925673054,0.5931215262584052,0.6394930061565561
A,0.869821732772082,0.843080158367273,0.7988495974561567,0.7585577081695045,0.6383130822319526,0.6091090531325222
B,0.8825259498229582,0.6826809725932951,0.7065492464854108,0.8481684786466852,0.5997943609371152,0.5343590721207198
B,0.8648547903592638,0.8015596738679909,0.8889147301636457,0.5335323674099459,0.3623207933122914,0.6263668149718996
C,0.8198266946041364,0.7870233511663599,0.7801129276064576,0.664752614393695,0.6601090009308773,0.5900737253691614
A,0.9433066605720986,0.8221584540372756,0.681336881181073,0.6423664704955783,0.7619336351090645,0.5073400363713964
C,0.8563541904560937,0.8016508052475871,0.7289794399609067,0.7133749685960963,0.6216661751169504,0.5375281841763515
B,0.9203253828095947,0.8279699677417113,0.7363383392637718,0.6915668770933618,0.5068893946705737,0.535177711115688
C,0.6726224867797481,0.7588532805100798,0.657160968675829,0.634745375726338,0.5586872753635718,0.6005261343174202
B,0.4577599748381657,0.7958608917371793,0.6387411801822374,0.6259097811389145,0.7869913067655594,0.5132977385278359
C,0.878378802783808,0.6672171433943008,0.80013898938095,0.5583549144815952,0.7009962540860559,0.5109590813578367
A,0.7075234346278511,0.7580092721997087,0.8145273297042095,0.768786158240651,0.674002661838433,0.746875730943396
C,0.8287548297286944,0.9290833548176644,0.7903781469552958,0.715920418159953,0.6456412583534377,0.6439735481747104
A,0.8197902958975394,0.8218808339628256,0.8815318094323802,0.7617768197795138,0.5438862887809028,0.47393993355748615
A,1.0,0.7879078962616923,0.6758226763988398,0.6389603863524487,0.5899428819344232,0.6070940993942199
C,0.8899996552943606,0.9796123276254347,0.8974270766071131,0.604316453130557,0.6022077264321485,0.5618350065655178
A,0.8665859026798672,0.653916502169892,0.6399078881445847,0.5621684933370772,0.6649574316064445,0.5891551175260095
A,0.9336991154633674,0.6790544444553781,0.6287314436631507,0.705891758374066,0.7608918894266905,0.5637341324565105
A,0.8868497586839038,0.9612711411276273,0.5540041117850749,0.5660206775471766,0.7218338136793129,0.6689642645485236
C,0.8042323007011567,0.7945960936048935,0.6854204686173183,0.8548663068966551,0.46806156442039604,0.5845620344651447
B,0.9571475930254559,0.7657416963710206,0.6796277663170546,0.5392357418906559,0.632399496890105,0.5437911301785713
A,0.7390249872111725,0.6700795674904357,0.782593728025465,0.6973660119212503,0.6836763345167898,0.6542190576983018
B,0.8823247187533562,0.8347696266395013,0.754389094162045,0.8266854707213787,0.6718860330144636,0.5733285041087872
A,0.6952430205863689,0.8444459869527463,0.6107026628980863,0.7299089759263809,0.5470766236612582,0.5621478579329058
C,0.8703943857515994,0.6805505639165104,0.6907273761574182,0.687567371249178,0.9014109215768362,0.5814022602486115
B,0.8692989641772929,0.7759724414449573,0.6928537978912315,0.5731516353038104,0.4822915437668882,0.5406390976633634
A,1.0,0.7564484167966934,0.5524017753038107,0.5318230811432296,0.5016811553333951,0.550922699299547
B,0.693502610655822,0.8155977146418771,0.631905327298663,0.7470050108917586,0.6333595081261577,0.49133054112381275
B,0.7899112824146187,0.6780749757779356,0.6529186369385911,0.8206147240774947,0.8216803054963855,0.47488327803761216
C,0.9322682426574144,0.9151947454513157,0.8733625019820946,0.6261150009521829,0.526380514929583,0.4501429613517561
C,0.8835317256397307,0.8815823781597605,0.7491450715957353,0.5560938492383649,0.5834171634353009,0.41080167132029244
C,0.8680305051337502,0.7536824441267185,0.79621687539475,0.42418305694509817,0.7177293673015694,0.4620282638615444
A,0.754386429704146,0.768358128836163,0.5801364502850788,0.5719235156337463,0.6082137845112268,0.5325732965533074
A,0.790918165190857,0.7763577849722384,0.8494214483013992,0.658634315750096,0.5765396145469706,0.5603117582445637
B,0.9745041008223256,0.7121691446993497,0.8601102063024093,0.8299123240836734,0.6665632901886721,0.522870343685236
C,0.8448490806246072,0.7456570581764965,0.5301655032855374,0.7373133692232969,0.6372517990229594,0.3144296509872643
B,0.8875359696144474,0.7629729632325392,0.6594683276084151,0.7005085404706753,0.7130438785636792,0.7074586357762342
C,0.8384811671223521,0.9512868370707128,0.7795765573015511,0.6299880338698869,0.7391468889065365,0.6586480122890382
B,0.7316914484750234,0.8846618308330437,0.7944388453538183,0.6116834282744044,0.6407003060005363,0.594575985121713
C,0.9433810426074997,0.8834654707336624,0.6621505269512779,0.8105647597507964,0.639173272537831,0.7407490672553269
A,0.9003232384532496,0.8269925613004391,0.6994500536946346,0.690073854075839,0.6314110982286134,0.452263588251629
B,1.0,0.6782672991068766,0.6702618938954857,0.4597399308078978,0.6589130556649289,0.7387625120626005
C,0.7484418620349454,0.7858508895422621,0.7410418046946119,0.6026460352102757,0.6155170637871465,0.45347859232494525
A,0.932257292120048,0.887048845961338,0.8497178531461913,0.5841783968228373,0.6099391517677711,0.5738737925291357
C,0.7188456033962999,0.6641735370632712,0.6528957842858796,0.6153735990822535,0.7296627120827244,0.4226162674865796
A,0.8657346567673078,0.8536553206873265,0.8300820497768414,0.7262910660285086,0.7616116180355044,0.5514694095544367
C,0.9476506589063165,1.0,0.6518327927653113,0.6592555118205751,0.45924470553665797,0.588616649799839
C,0.6427864883903512,0.8961816645989732,0.6452372787503116,0.6623134592996338,0.611002115174057,0.5345309668865446
C,0.8295067525758392,0.9314029135561988,0.8118594618343213,0.8013473161325237,0.5411305566554766,0.6213877444090138
B,0.793679026595738,0.8118338750442161,0.8221936378007617,0.6003538910213312,0.5789028533513929,0.5599014449487257
A,0.7798042701704878,0.886793194876499,0.8151409936762655,0.856419952588735,0.6502516209735323,0.4977585271622491
B,0.8885212652259354,0.7182146785645965,0.5984202591781859,0.6028692408628914,0.6769438371542469,0.4933186682197661
B,0.9620685706422595,0.8695863812341227,0.6834049021927949,0.6789198196612571,0.5987873556388656,0.6310913772615697
A,0.8366721284770844,0.8554388134060764,0.8122988592003322,0.6418796404597233,0.4186659665277198,0.4846257970193033
B,0.870548642756002,0.8189911174037663,0.7341541840563894,0.6823419133500962,0.5134954419423822,0.6415402970484938
A,0.8614308753059248,0.9216007419718499,0.6226307153802535,0.714459199507313,0.6996499670200167,0.6722711792831931
B,0.8501803506356413,0.7361215162152612,0.7758317939125442,0.7133835240088877,0.335957357796507,0.38312861376538704
B,0.7410657362287894,0.7712942483526338,0.658519274100853,0.5946882669379421,0.7287427151682001,0.6632926387301035
B,0.9608444601722893,0.7995462041358297,0.9094524848392211,0.557708532255243,0.6621229990644543,0.75604226984447
B,0.8795195368158836,0.68703890289106,0.8844841462418258,0.9203171790905711,0.7416176081530024,0.5752003761201929
C,0.8894881490002577,0.8126931943800249,0.7904097426355567,0.6216015660399448,0.5901430813119041,0.6099084185294823
B,0.7693490370974417,0.6181069587046153,0.8661006704769774,0.7399212438671987,0.4038594575977096,0.653700532436916
A,0.8040779602010759,0.894695453442821,0.7364791350123381,0.5092358689476804,0.6530362641506499,0.5224517684820978
A,0.8323865802289221,0.7946637366565966,0.8065437494375016,0.6420387280095323,0.7374653124038342,0.568228022353787
B,0.6965875306551148,0.7379107096096237,0.8777720295302075,0.6572800616017558,0.7024721805513422,0.41858004703768914
B,0.6811965674802322,0.7065626387704879,0.7545498681794313,0.7172815069927833,0.5437308516511965,0.5638635028530451
B,0.7899252069361432,0.7665420970380813,0.7044812828485716,0.39775458590080615,0.6186761075462648,0.5998111995644542
C,0.902252076644239,0.8588259710772413,0.5595378041822884,0.6866140613078331,0.5567163731220077,0.601616302292647
C,0.7846862610070059,0.8447738978737561,0.7216866474278506,0.5550258544632107,0.5280733535810629,0.6565424723597582
