Task,model_A,model_B,model_C,model_D,model_E,model_F,model_G,model_H
code,1.0,0.718833917602272,0.6562249210141167,0.7066925968298351,0.4888023552336557,0.5632504852949406,0.5448691830770798,0.5270463595687227
code,0.7719856118612228,1.0,0.5284787675446858,0.6512707537691702,0.67716942711369,0.5468983322542557,0.4884201249921691,0.6693449550288386
reasoning,0.9235269309974987,0.890641899322576,0.7511174698826444,0.7370735618002084,0.6846502028317565,0.698144928115275,0.6104086088050583,0.5455703971113868
code,0.7940836164940791,0.5543457729878392,0.7274445112124458,0.7066906303624562,0.6896624496345374,0.4937746622691182,0.6525268808550456,0.4443211404113723
writing,0.8039693237425637,0.7363312689361025,0.8493334231785399,0.8618275526070298,0.7160862717859101,0.42932518871452147,0.4591463928716362,0.36095642470573386
writing,0.9530249693969567,0.6116582091009374,0.7716197950623224,0.5255435149784499,0.6818337359207338,0.5662852629063562,0.43498594890885417,0.3935710147280981
code,0.8119963153710646,0.6977880735156173,0.8691372051315547,0.6663278295966889,0.5804256302746804,0.5243030408570616,0.5210284603859452,0.3907297177042893
code,0.8095204620579707,0.4790056762337388,0.6659778629226686,0.5877211774202095,0.6143448866369624,0.9020240061939788,0.5902927438360234,0.5155233628513761
reasoning,0.9632804697174807,0.7791581850877486,0.8495293188110475,0.7389821741153331,0.6305410581539092,0.6319364619297118,0.5869519620090133,0.47569974455858305
code,1.0,0.6786629609410116,0.6828226478038202,0.5168542395668742,0.6321985163392333,0.5233516567638519,0.3647260971240972,0.31763504291578215
code,0.9144689803284233,0.7988476685367867,0.8134738918935129,0.7132026995939172,0.7212503370257444,0.45867455736700563,0.6983034638491893,0.40640985309095673
writing,0.7845230224376051,0.6303450169688903,0.5898384464612163,0.6155665854365945,0.6857954467308205,0.37625687322883583,0.4430263642031721,0.537754755345142
reasoning,0.7989391500702421,0.8011483281743468,0.7592278156509045,0.6051552419593272,0.8291629153855667,0.46176380571197095,0.4806363574539992,0.4851662354974059
math,0.8579915263740038,0.7513655150451101,0.5372454915696947,0.5339216082173599,0.8420754694170387,0.5757798914616274,0.4168774211440751,0.5068644616012771
writing,0.8820930061925657,0.9430524393760024,0.7090005371201102,0.632063833951328,0.629393529689964,0.7070185794451912,0.7769757407365658,0.4882921710057263
writing,0.7512134089860227,0.9339928290317053,0.779749685102077,0.7870214816005212,0.2377630165826345,0.6764546285245062,0.5313499241716538,0.612643073460886
code,0.9223037939579863,0.8713917031581712,0.6836174305911761,0.6760525602184807,0.7451118180412981,0.5871951974503522,0.4220453490747006,0.473604306382437
code,0.8585513329639599,0.7601957647910216,0.6306705228386889,0.741339470358876,0.567390937529866,0.5319689477154658,0.5935352121391018,0.4113977202129302
math,0.678429168136187,0.9913951823831721,0.820326132643879,0.8450356107680561,0.5412801792454708,0.5911669499269298,0.5840564350738604,0.35842449588664393
math,0.757107351753927,0.6375536150731608,0.7253680067295933,0.7049469870536862,0.5815840439296347,0.5124219145372567,0.4883701547848687,0.4749609458209712
math,0.7995871326348336,0.6525012799007766,0.6867572210112185,0.6226914713651945,0.5767642667471108,0.7361221138621019,0.5912035284211954,0.2059295985224916
reasoning,0.8427142311158945,0.7844788328682364,0.7399038778297133,0.7252966500897076,0.6826555524391107,0.5453666961582063,0.42461366105977066,0.4315710998167288
reasoning,1.0,1.0,0.9993811999088444,0.6241418139399995,0.46548499351594885,0.5556519284610416,0.4578510296479319,0.4294160140078656
writing,0.8738171306139628,0.7726232521701341,0.85106457069244,0.6281291602417116,0.5136564968494113,0.34270347178364746,0.30612119168625085,0.31355291463827195
code,0.7659228110101375,0.7745326185362146,0.8519716525330697,0.5265821486095301,0.6557444268483131,0.5447422296334379,0.37474774872090083,0.3571734161344004
math,0.8720630804307163,0.6486661072459619,0.779268917613522,0.7711971776798678,0.6837229744699023,0.6479341280822084,0.6879059377099257,0.5309657530148242
math,0.8147912252546119,0.8874501013841807,0.7523628129720004,0.6399711710064847,0.6855827359221727,0.45751345658185977,0.6712857199150886,0.4730711749074963
writing,0.8824758239533541,0.8881747682900782,0.496106056881244,0.6967812531530148,0.5427249435352415,0.489213680836433,0.5137217220077533,0.4601788333707328
code,0.9080567687035614,0.8717646629971338,0.6678162510679725,0.5749752357107647,0.5236020065019474,0.6435568160590808,0.6734360018618408,0.4806347533932023
code,0.9709230647223938,0.7299350755724066,0.6876568443940382,0.7221661915429758,0.5707650880497795,0.416619991933909,0.49113540848202664,0.45926275879489237
math,0.8475713504329974,0.7221864660198423,0.5482250793095323,0.6023773047579202,0.645415846657044,0.6700658150399061,0.4828018268860663,0.5742862562858315
math,1.0,0.6635449178166457,0.6199727066927423,0.6644005564012462,0.7699763083558264,0.511071325268404,0.5127939219894128,0.4623429181703649
math,0.9408022662536191,0.8012443930332361,0.5376306386220222,0.7663540316953412,0.41668485285149637,0.525428892236594,0.49465069761050057,0.30417868861812497
code,0.7792560455187811,0.6848164099292926,0.7318819021445484,0.7576473597946816,0.5993556957327348,0.4518978737731549,0.48562322478683906,0.6130129964874411
writing,1.0,0.6751154923322139,0.8175908827991673,0.6763684213197345,0.4881607273260511,0.6020903403285026,0.6214826678578124,0.4870340267328846
math,0.8826994513270098,0.7504880711660752,0.8463917375767185,0.5017583253007567,0.45620430369322246,0.8102729127886523,0.5221564225384774,0.3910746269204932
