sample_id,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6
s0031,0.8613334463905301,0.8296081494132487,0.59322476604529,0.759116640428018,0.5344064634912938,0.5079061572694671
s0032,0.8257271410688971,0.6749895430854351,0.7464498204047496,0.5799464014821232,0.6440785800452475,0.49670909439935745
s0033,0.8622728907705484,0.6481823933192681,0.5738248699823588,0.636697578312756,0.5593008807258655,0.5802928421945811
s0034,0.9786947286116419,0.8096319682007863,0.9233016418252687,0.7778573964348757,0.5885521532856868,0.38349681096960747
s0035,0.8375451520313576,0.7069767926353561,0.8195927861573751,0.39759729241211483,0.36286677323652283,0.3068885857228745
s0036,0.7337289560672238,0.612952495463203,0.6912575769600313,0.5409987400185414,0.5671053738215364,0.4429970223191956
s0037,0.8338356205521389,0.8671344284541482,0.7767394492997975,0.7565835978602963,0.45650248987427344,0.41524997002940894
s0038,0.8035598218590089,0.9095101906502298,0.5263198135689208,0.7192537833608303,0.4453601694222312,0.3657704283229931
s0039,0.9923898937246851,0.9257160889698659,0.9423373331399558,0.6622445210926694,0.7044103184465978,0.4420150846512204
s0040,0.967111906473757,0.788700772147472,0.630978538779951,0.5651403126890879,0.5086229751937651,0.38883948537954155
s0041,0.8607525000430799,0.8325932095972903,0.677950258610064,0.521818150101458,0.4296698169024504,0.2663994716643169
s0042,0.7221264145180744,0.9069868223361911,0.5044066712811562,0.5508784380757626,0.49408683718911256,0.405882330920624
s0043,0.7274107736560054,0.7058584209976566,0.7386287304740894,0.7648008220818693,0.39995497710780864,0.33636248332961427
s0044,0.8515123261584553,0.8810677684054092,0.579365584292289,0.5471557310844654,0.6733884468196271,0.47316480716109227
s0045,0.8836322969321281,0.7975396234143208,0.7001655761566029,0.6201422964239658,0.4604319255833485,0.3843965241759345
s0046,0.8125377180673945,0.8613711652342592,0.6355725567075461,0.5346292355138254,0.5829299933943669,0.5611631474141052
s0047,0.8019830415792766,0.7886093020875935,0.5822256065069655,0.6942774030099027,0.6656106714210326,0.6103866067267866
s0048,0.7907200766821353,0.8996256709748002,0.6095638498237382,0.5561273719653559,0.4799847318785271,0.5179381373011906
s0049,0.8476606039756054,0.7923523762541537,0.7125788034085521,0.6002406109845586,0.5832022432272786,0.294897381801668
s0050,0.6117237647926934,0.6216020940532583,0.5618509027131176,0.44166178669571743,0.42699139450955703,0.600519599887904
s0051,0.739867337123029,0.9151926632314722,0.6151188328976422,0.44866317637950603,0.7745769569113684,0.6075720450373765
s0052,0.7872949154552649,0.6752469259027888,0.7563273381264477,0.6107673193321507,0.6236380134616623,0.4518790511307941
s0053,0.9707503194951921,0.8953058210243915,0.9502479874874312,0.4774842844802238,0.5107393561239194,0.5822926160335532
s0054,0.768618635807107,0.7609757118559678,0.7377588819553005,0.8205086639334502,0.45271662691110365,0.3948324861953322
s0055,0.8680468141831206,0.8876010985197706,0.5982738357822712,0.403847688788775,0.5186003447160374,0.26337540651504104
s0056,0.8726542750930996,0.8834768614866766,0.6532885829927688,0.5299824701335896,0.49600162776484813,0.3739715561378406
s0057,0.9797916505660762,0.8130142974315372,0.6931589006152578,0.611670086726755,0.7252944553999507,0.6229300866044757
s0058,0.976257740696415,0.8208535317627131,0.6550575049364292,0.5734867062204215,0.4074465277785098,0.30089200763885265
s0059,0.8442497031205083,0.8122628617192567,0.7803058166736933,0.49958545433360807,0.5434801423290204,0.44995212819314945
s0060,0.8024515258810557,0.5686175243718923,0.7117473483014224,0.5142072160504731,0.5281661933366291,0.45341438933402123
s0061,0.7836166897174309,0.7818330218898203,0.780785238490987,0.5109345922500761,0.5182589699655131,0.3987025756032188
