system_A,system_B,system_C,system_D,system_E,system_F,system_G
0.9101013369933348,0.8432888099380048,0.8678851635428397,0.47840209972827286,0.5969052432376154,0.49635618017386074,0.2861397724247372
,0.7382544343109795,0.5486279565840037,0.6841423591284448,,,
0.7848791440319174,0.7351092102129853,,,0.6721712804902283,0.4961407353615752,0.3407334745732345
,0.5463813137817441,,,,0.39426285047495874,0.4011012390355795
0.7754982882098661,0.8062744667641812,0.7159127706324111,0.7253416783492153,,0.39583139405225287,0.4001846907065566
0.8298227417698252,,,0.6644614113150913,0.4933029911326648,0.5065361137074674,0.1368785895141917
0.7933491306763447,0.6359770527289301,,0.6855154180615715,,0.37703636952384156,
,0.7479680897471743,0.7302168438447106,0.6911455763493651,0.5276769648004713,0.26195551387992166,0.3803082615195948
0.939749230734104,,0.5241566779360034,,,0.5246900009424676,0.5161438457112687
0.7212708369112232,0.8368153820206148,0.8090114581279071,0.7721681975597212,0.5027191814920317,0.29582526253545394,0.4033037992748806
0.8787096236933379,0.7671230358014491,0.8236841324246662,0.5447908495039802,0.5424322486471298,,0.4821587549282914
1.0,0.5715083441912765,0.65580644404517,,,,0.4059854373740152
0.7396738490096292,,0.6781160993556699,0.5600835217978849,0.6349206289404928,0.38827406697106726,0.5115470907443298
0.5463654972704404,0.7936217609133489,0.4996004330266467,0.6589850545052771,0.6209652177662942,0.5752156746243474,
0.8156794933743867,0.8676500677114377,0.7450439040554735,0.5354355308235093,0.4620019235438021,0.4911473782766874,0.3382501704268515
0.9821151561998285,0.6925502735393569,,,,0.34982996291596025,0.6226921664536258
1.0,1.0,0.6758704112934161,0.4517587419424794,0.631302733655197,,0.45668445467358704
0.7024540486657099,0.5393298984062309,0.8182557365177936,0.7397598250201886,0.6217922817702419,,0.41884933052052953
,,0.6432440656157405,0.6804889135140244,0.6933871477567844,0.3881292817449055,0.19684347001539967
0.7941627451863936,0.7567026342475338,0.7510860444405654,,0.44418899155035907,,0.19540308590437547
0.8372861974835037,0.7425767670403229,0.5609736126902795,0.5437021163969027,0.48912082802342494,0.505960177455524,0.38512585785702236
1.0,0.6188095870888867,,0.6773553895581236,0.3199285671636145,0.5671853290190695,0.3674625437321889
0.6696435605925816,0.8204100763968819,0.662410822384993,0.5151247943236845,0.46957013393936187,0.559668320161659,0.276305292199002
0.8804487593793487,0.8111979528243373,,0.6150438378918203,0.6362551279362003,,0.3669179239534472
,0.7724220401844523,0.6389901018733303,0.7393678544917687,0.46068722115928284,,0.5406352313652315
,0.8064879302576885,,0.5026491457035369,0.5935242420907655,,0.4334482969460358
0.8617579784165075,0.7158134972929029,0.7824589939063141,0.6442320994944243,0.49380629394692926,0.27563583079870735,0.2130789788296714
0.8869660647404922,0.5725831126536385,,0.637887032032259,0.5555535100532539,0.6453319920483056,0.3366189407428467
0.803002171909385,0.6806698822603973,0.49054408124469184,0.588319581760478,,0.21300469483302864,0.25340402229769265
0.8822952329494128,0.7855132164357995,0.8932834018379838,0.5395452499075276,0.5268918006227348,0.33919445614428023,0.30347601003097263
0.8088169269403107,0.7861959964482341,,0.7457756468273262,0.15773035015857984,0.5706860871793441,0.30036612012444286
0.9245886267827261,0.7716321529769683,0.5282618099206591,0.528291763707964,0.49423912768722844,,0.2926825300875194
0.8056467596747638,0.8325116588248704,0.7660982699627567,0.38255533186444557,0.3210098774208498,0.5446987418540165,
,,,0.676864030995724,0.6613860086522845,0.4984727354858145,
0.8464884623578026,0.769868393519931,0.7149517991730605,0.4558435980278599,0.609955548998408,0.6096832378166397,0.28272708357832277
0.9851260300926601,0.8353178000752571,,0.6830257373826104,,0.4687846077211195,0.0
,0.7564798884463843,0.6552043972953747,0.7601883897412133,0.6991874139257922,0.5129470608315148,0.5963566429401995
0.6372361038151741,0.6174677952579347,0.5892814534629658,0.6755699854078409,0.40279668416768616,0.3464237494863325,0.48065235850600063
1.0,0.6512880623080021,0.6004684070553822,0.728569356226499,0.7263502504165336,0.5036932904027097,0.30484391300900043
0.7413121238964857,0.8663689455801906,0.5733903034755843,0.8424058928315576,0.6285296543779127,0.3857982015746259,0.35225828596887176
0.7715480393621416,0.9337633262197753,,0.7160112555130735,0.48828003220039307,0.3789606291756479,
0.7785206447147809,0.9077006396055525,,0.6396688071150523,0.6529410843286199,0.5407001550909899,0.5534867453373038
1.0,0.7945253806357108,0.5974421346400431,0.7960737820228377,,0.541528138460457,0.5776746433727733
0.5937190943225565,0.6222907544246634,0.7651795812188478,0.8105730653815901,,0.6359463920228691,0.3688032473895829
1.0,,0.8618028719736446,0.8122526139911305,,,0.47282367730224134
,0.9541372825007172,0.6137269443689282,,0.4531893416989848,0.5434111526963864,
0.8767886696954992,0.8408852723214437,0.7120618733975786,0.4375177969801915,0.38987974953543625,0.22687986010492786,
0.8434127199260456,0.7417693639446019,0.7432955465696854,0.5336169379878135,0.6634366347181055,0.6526550512872968,0.3005811957243611
0.8842664889829188,,0.7399736058436462,,0.4856041386222868,0.5434894538132968,0.36583135601263483
0.9125346914055206,0.614339241872794,0.6924479654832638,0.6190990734398527,0.5589672628694922,,0.2954542737507867
0.9274258703140068,,0.7724552235365001,0.5752222817787783,0.44822450269702496,0.5208024320008672,0.32376160670779563
0.9166725359204138,0.6365636997439876,,0.6672577678565922,0.2981942706008446,,0.33903205309890627
0.8607496817506298,0.8230152848684785,0.5348138426540576,0.4235033901992079,0.5490735496736373,0.5075689477465024,0.3402945802561446
0.8263193895631209,0.8523590866330777,0.7876320610600461,0.6169403158429849,0.2871960696162934,0.27538092840444145,0.356271018859698
0.8318472059615786,0.7482075434028627,0.7898082338053424,0.7342149173817452,0.5084305811364104,0.336347124278937,0.22272739203240788
0.8266110063576783,0.6619151054579187,,0.6659178773469874,,0.5185248288373966,0.2639580621046476
0.9860524116240477,0.7642967754425113,0.6878858735870456,0.6830171786200474,0.7551397865743635,0.5620797424924806,0.19584988811600368
0.9212268066737034,0.7082770797858097,0.7653328124706616,,,0.4723857564653906,
,0.6711261821034172,0.65821567498381,0.5920628058151599,0.5293571216192443,0.3989930969307769,0.09732236697916102
0.9287080931835713,,,,0.6683114679852269,0.1795493779312945,0.48843084119803104
0.8733683433662529,0.6757075999644258,,0.742741805119805,0.4151087493707783,0.40825080137517017,0.5163619276715412
0.8477549492264923,0.5787046987109755,0.5890150094171355,0.7405344757240713,,0.49735154255227665,0.3137383295620854
0.8033777856293337,0.6053729302230841,0.5176079809548804,,0.5406439187129122,,
0.9848935263983216,,0.7197915648059184,0.5807554799301062,,0.43062398040200317,0.3066427325639251
0.9637031754547429,0.7963680966558111,0.7699208339484706,0.6001655581209582,0.6693490866794787,0.4110592371831829,0.34229790064534166
0.7572546798611669,0.7847153192478062,,0.4467872457442696,,0.3947285871947613,0.22872821360853038
0.8988462744549441,0.778729078007646,0.8577246129318574,0.7335535836248643,0.5513135062056694,,0.28817379274301086
0.7334011918550457,,,0.7293181571434972,0.31808017431927105,0.40060998347503807,0.5336234238636022
0.6844458202253283,0.9097017294007206,0.7664835680971267,,0.401461111233131,0.6065280797691665,0.4297912594762089
,,0.6106300348422662,0.7041158500687363,,,0.23905230627462798
,0.8154439639352767,0.889658682078209,0.648492198601081,,0.36783222301680407,0.15828809964854812
0.9643750054451303,0.5771128057779614,0.9224351757135075,0.47736310675310445,0.38104221970579577,0.3289025865112663,0.31075792188682744
0.9115702504116752,0.9321118362182687,0.5913345427993316,,0.8060678677360771,0.4596266053374625,0.3243851864779474
0.9370114944217596,0.6172869180804877,0.6173864770243037,0.6448191923282066,0.6986339532970953,0.4425907076393085,0.40954390248359795
,0.681456932381814,,0.5522755063311698,,0.6279965055192648,0.2857619944918809
0.7730222085732457,0.6949415250186955,0.6368776553585916,0.8183938620659604,0.525311090020716,,0.41137994904342334
0.9018307053608728,0.5835141470600012,0.6778839871814648,,,0.3405633186648756,0.5822184848072275
,0.7705757359556941,,0.6568431764078673,,0.4333933411373689,0.4478601226933115
,0.7923351308508444,0.4529725545896146,0.6627694804802873,0.5259643288889301,0.45688986336425597,0.34422937912030727
0.9926696045769572,0.7439370261488807,0.6816728038020249,0.75970406164406,0.5475969714837967,0.337595683532853,0.32802194347360464
0.9349964616641276,,0.6005660004456325,0.7015821710072805,,0.508739177657848,0.3071992238984154
0.8921737849049899,1.0,0.6241585946453607,0.6599719726195227,,0.40459244908154,
0.9784180285979712,,0.8565691737495911,0.4823686588442988,,,0.27472238648584363
0.8468174488901128,1.0,,,0.2877297597213797,0.3997851368213482,0.3554267250799979
,0.6700535578803115,,0.467618069123012,0.4134204653731264,0.3136123846044555,0.3561437482257302
0.8304319643267483,0.8816125340479037,0.6498577816935163,0.5624948715479803,,0.557730952863644,0.28978589686261613
0.7606116826232261,0.8601795331539662,0.6497621131138333,0.4014326068308003,,0.6615204439469737,0.18530413425390788
0.7689786070030742,0.7317976542949831,,0.6646557790523114,0.5834530416107175,,0.3887569404341202
0.8326577595141378,0.9359927747937735,0.7241394886816002,,0.35640887837467966,0.4466865454997264,0.34267952337735397
0.7549096094800046,0.7180174657530132,0.7518068929996771,0.6918331726037712,0.574991021396783,0.45162550535823565,0.41002885633238834
0.8130446164433152,0.7233596963357137,0.7995154925972767,0.3913121242674679,,0.5752014168059312,0.28596796322729995
0.6227662399655457,,,,,0.5726172137649953,0.49649855585756575
0.8755952448847526,0.8157500331157831,0.6098649251924033,0.5031077518236462,0.4601317084485212,0.41945490510754563,0.2447871462545786
0.8501446570434669,0.6076054772647779,0.5531152701463976,0.5821193760763361,0.5054303240179661,,0.5554448340821471
,0.7005801231832053,0.5842840697358588,,,0.5116509021945828,0.1402836188206086
,0.6435203100172633,1.0,0.6313520020958279,0.3622070384365566,,0.40217240774682694
0.9625084165151869,0.7227188819484752,0.8326948830217478,0.6398331068000236,,0.5788463218237881,0.4070516819031948
0.657092816275723,,0.5212044093883708,0.6959014583886479,0.44663474750514603,,0.25453315184709413
,0.7680036542325175,,0.6514548767926469,0.6412721287889847,,0.4009272725433215
0.7577029180255241,0.8518236215273635,0.7411572607395523,0.5590670516941539,,0.2838620639395868,0.5035422403712191
,0.9185422109369423,0.7490051090186893,0.5800237046117726,0.17680799489339838,0.19693327868306845,0.08398173927751224
0.9495369810318098,0.7224111542653263,0.7491993935714171,0.6254254414382187,0.46252760365758677,0.5183795741554851,0.4103293768988977
0.8267408633472636,0.709238597624733,,,0.5828755626559771,0.34211059945788297,0.05080750156039071
0.8182582190427267,,,0.7195210391266403,0.6606980766353261,0.4677893358280916,0.23412022357721501
0.6095365162711895,0.8911123413154581,0.7226788762324562,0.634638471696898,,0.6175511797342392,0.5454999637881134
0.9262501636251071,0.8555375708390323,0.693640494088533,0.6089731521506362,0.46729547381274633,0.35449871216552414,
,,0.41701728860362913,0.7430995870837764,,,0.20913440427092328
0.8571919156319594,0.817385274526859,0.6557573776643101,0.5855863628146356,0.2922976627032161,0.46654009004393127,
0.8832852325549829,0.7798031391523413,0.5811645612220957,0.57810948034171,0.4700441736447055,0.2776321765354657,0.5981487605796262
1.0,0.8929701396286263,0.7043587036023548,0.5418445483195242,0.5395175334576735,0.3423905898126282,0.13019813033527686
0.6929415521057065,0.6979220159221368,1.0,,,0.43631623378348566,0.22384281060327865
